relation,A,B,C,D,D',raw_generation,new_generation,parsed_answer
Synonym,easy,simple,sad,unhappy,happy,"<ans> D </ans>

So the correct analogy is: easy is to simple as sad is to unhappy.</s>",,D
Synonym,hurry,rush,harm,injure,help,"<ans> D </ans>

So the correct analogy is: ""hurry is to rush like harm is to injure"".</s>",,D
Synonym,rob,steal,cry,weep,laugh,"<ans> D </ans>

So, the correct analogy is ""rob : steal :: cry : weep"". In this analogy, robbery and stealing are related actions, as are crying and weeping.</s>",,D
Synonym,polite,courteous,angry,furious,happy,"<ans> D </ans>

So the correct analogy is: polite is to courteous as angry is to furious.</s>",,D
Synonym,beginner,novice,doctor,physician,heal,"<ans> D </ans>

So the correct analogy is: beginner : novice :: doctor : physician.</s>",,D
Synonym,baby,infant,woman,lady,girl,"<ans> D </ans>

So the correct analogy is: ""baby is to infant as woman is to lady.""</s>",,D
Synonym,brook,stream,courage,bravery,cowardice,"<ans> D </ans>

So, the correct analogy is ""brook : stream :: courage : bravery"". A brook is to a stream as courage is to bravery.</s>",,D
Synonym,huge,enormous,wealthy,rich,poor,"<ans> D </ans>

So the correct analogy is: huge is to enormous as wealthy is to rich.</s>",,D
Synonym,cheerful,happy,awful,horrible,wonderful,"<ans> D </ans>

So the correct analogy is: cheerful : happy :: awful : horrible.</s>",,D
Synonym,remain,stay,begin,start,continue,"<ans> D </ans>

So the correct analogy is: remain : stay :: begin : start</s>",,D
Synonym,unusual,strange,famous,renowned,unknown,"<ans> D </ans>

So the correct analogy is: unusual is to strange as famous is to renowned.</s>",,D
Synonym,sick,ill,little,small,big,"<ans> D </ans>

So the correct analogy is ""sick is to ill like little is to small.""</s>",,D
Synonym,legal,lawful,usual,normal,strange,"<ans> D </ans>

So the correct analogy is: A (legal) is to B (lawful) like C (usual) is to D (normal).</s>",,D
Synonym,collect,gather,leave,abandon,stay,"<ans> D: abandon </ans>

The correct analogy for the given notation is that ""collect is to gather"" is similar to ""A is to B"" and ""leave is to abandon"" is similar to ""C is to D"". Therefore, the answer is ""D: abandon"".</s>",,D
Synonym,clean,neat,fortunate,lucky,miserable,"<ans> D </ans>

So the correct analogy is: clean is to neat as fortunate is to lucky.</s>",,D
Synonym,immense,colossal,precise,exact,approximate,"<ans> D </ans>

So the correct analogy is: immense : colossal :: precise : exact</s>",,D
Synonym,stone,rock,garbage,trash,bag,"<ans> D </ans>

So the correct analogy is: ""stone is to rock like garbage is to trash.""</s>",,D
Synonym,help,aid,raise,lift,lower,"<ans> D </ans>

So the correct analogy is: help : aid :: raise : lift</s>",,D
Synonym,rug,carpet,bucket,pail,milk,"<ans> D </ans>

So, the correct analogy is: ""rug is to carpet like bucket is to pail.""</s>",,D
Synonym,shout,yell,leap,jump,fall,"<ans> D </ans>

So the correct analogy is: ""yell is to shout like jump is to leap"".</s>",,D
Opposite,artificial,natural,friend,enemy,relative,"<ans> D </ans>

So the correct analogy is: ""Artificial is to natural as friend is to enemy.""</s>",,D
Opposite,love,hate,rich,poor,wealthy,"<ans> E </ans>

So the correct analogy is ""love is to hate like rich is to wealthy.""</s>",,E
Opposite,alive,dead,succeed,fail,conquer,"<ans> D </ans>

So the correct analogy is: alive : dead :: succeed : fail</s>",,D
Opposite,ugliness,beauty,joy,sorrow,emotion,"<ans> D </ans>

So the correct analogy is: ugliness : beauty :: joy : sorrow</s>",,D
Opposite,huge,tiny,arrive,depart,come,"<ans> D </ans>

So the correct analogy is: huge is to tiny like arrive is to depart.</s>",,D
Opposite,somber,cheerful,lawyer,client,doctor,"<ans> D </ans>

So the correct analogy is: somber : cheerful :: lawyer : client. In this analogy, somber and cheerful are related to each other, and lawyer and client are related to each other in the same way. A somber person is like a cheerful person is to a client. A lawyer represents and advises a client, just as a somber person is related to a cheerful person in some way.</s>",,D
Opposite,late,early,win,lose,capture,"<ans> D </ans>

So, the correct analogy is: late is to early like lose is to win.</s>",,D
